BI Reference,Year,Quarter,Data Subject Type,Data Type,Decision Taken,Incident Category,Incident Type,No. Data Subjects Affected,Sector,Time Taken to Report
BI1005,2024,Qtr 1,Children,Location data,No Further Action,Non Cyber,Failure to redact,1 to 9,"Finance, insurance and credit",24 hours to 72 hours
BI1005,2024,Qtr 1,Children,Official documents,No Further Action,Non Cyber,Failure to redact,1 to 9,"Finance, insurance and credit",24 hours to 72 hours
BI1005,2024,Qtr 1,Children,Criminal offence data,No Further Action,Non Cyber,Failure to redact,1 to 9,"Finance, insurance and credit",24 hours to 72 hours
BI1006,2024,Qtr 1,Subscribers,Basic personal identifiers,Investigation Pursued,Non Cyber,Not Provided,10 to 99,Health,72 hours to 1 week
BI1006,2024,Qtr 1,Subscribers,Health data,Investigation Pursued,Non Cyber,Not Provided,10 to 99,Health,72 hours to 1 week
BI1006,2024,Qtr 1,Subscribers,Criminal offence data,Investigation Pursued,Non Cyber,Not Provided,10 to 99,Health,72 hours to 1 week
BI1007,2024,Qtr 1,Users,Criminal offence data,Investigation Pursued,Non Cyber,Not Provided,1 to 9,Education and childcare,24 hours to 72 hours
BI1007,2024,Qtr 1,Users,Health data,Investigation Pursued,Non Cyber,Not Provided,1 to 9,Education and childcare,24 hours to 72 hours
BI1008,2024,Qtr 1,Members of the public,Economic and financial data,No Further Action,Cyber,Unauthorised access,10 to 99,Health,72 hours to 1 week
BI1009,2024,Qtr 1,Members of the public,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI1010,2024,Qtr 1,Subscribers,Location data,Investigation Pursued,Cyber,Brute force attack,10 to 99,General business,Less than 24 hours
BI1010,2024,Qtr 1,Subscribers,Data revealing racial or ethnic origin,Investigation Pursued,Cyber,Brute force attack,10 to 99,General business,Less than 24 hours
BI1011,2024,Qtr 1,Patients,Economic and financial data,Action Taken,Non Cyber,Verbal disclosure of personal data,1 to 9,Health,More than 1 week
BI1011,2024,Qtr 1,Patients,Location data,Action Taken,Non Cyber,Verbal disclosure of personal data,1 to 9,Health,More than 1 week
BI1012,2024,Qtr 1,Subscribers,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,100 to 1k,Transport and leisure,24 hours to 72 hours
BI1012,2024,Qtr 1,Subscribers,Location data,No Further Action,Non Cyber,Not Provided,100 to 1k,Transport and leisure,24 hours to 72 hours
BI1013,2024,Qtr 1,Patients,Health data,Action Taken,Non Cyber,Failure to redact,1 to 9,General business,More than 1 week
BI1014,2024,Qtr 1,Service users,Economic and financial data,No Further Action,Cyber,Other cyber attack,10 to 99,Retail and manufacture,24 hours to 72 hours
BI1014,2024,Qtr 1,Service users,Criminal offence data,No Further Action,Cyber,Other cyber attack,10 to 99,Retail and manufacture,24 hours to 72 hours
BI1014,2024,Qtr 1,Service users,Location data,No Further Action,Cyber,Other cyber attack,10 to 99,Retail and manufacture,24 hours to 72 hours
BI1014,2024,Qtr 1,Service users,Official documents,No Further Action,Cyber,Other cyber attack,10 to 99,Retail and manufacture,24 hours to 72 hours
BI1015,2024,Qtr 1,Members of the public,Official documents,Investigation Pursued,Cyber,Malware (not ransomware),1 to 9,Online technology and telecoms,72 hours to 1 week
BI1015,2024,Qtr 1,Members of the public,Identification data,Investigation Pursued,Cyber,Malware (not ransomware),1 to 9,Online technology and telecoms,72 hours to 1 week
BI1016,2024,Qtr 1,Children,Basic personal identifiers,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,24 hours to 72 hours
BI1017,2024,Qtr 1,Members of the public,Criminal offence data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,24 hours to 72 hours
BI1017,2024,Qtr 1,Members of the public,Health data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,24 hours to 72 hours
BI1018,2024,Qtr 1,Service users,Health data,No Further Action,Non Cyber,Data emailed to incorrect recipient,10 to 99,Charitable and voluntary,24 hours to 72 hours
BI1018,2024,Qtr 1,Service users,Basic personal identifiers,No Further Action,Non Cyber,Data emailed to incorrect recipient,10 to 99,Charitable and voluntary,24 hours to 72 hours
BI1019,2024,Qtr 1,Children,Criminal offence data,No Further Action,Cyber,Phishing attack,1 to 9,Retail and manufacture,Less than 24 hours
BI1020,2024,Qtr 1,Children,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,10 to 99,Transport and leisure,More than 1 week
BI1020,2024,Qtr 1,Children,Criminal offence data,No Further Action,Non Cyber,Not Provided,10 to 99,Transport and leisure,More than 1 week
BI1021,2024,Qtr 1,Service users,Location data,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI1021,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI1021,2024,Qtr 1,Service users,Identification data,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI1021,2024,Qtr 1,Service users,Economic and financial data,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI1022,2024,Qtr 1,Customers or prospective customers,Basic personal identifiers,No Further Action,Cyber,Malware (not ransomware),1 to 9,Legal,72 hours to 1 week
BI1023,2024,Qtr 1,Patients,Health data,Action Taken,Non Cyber,Data left on screen in public location,1 to 9,Retail and manufacture,24 hours to 72 hours
BI1023,2024,Qtr 1,Patients,Data revealing racial or ethnic origin,Action Taken,Non Cyber,Data left on screen in public location,1 to 9,Retail and manufacture,24 hours to 72 hours
BI1023,2024,Qtr 1,Patients,Criminal offence data,Action Taken,Non Cyber,Data left on screen in public location,1 to 9,Retail and manufacture,24 hours to 72 hours
BI1023,2024,Qtr 1,Patients,Basic personal identifiers,Action Taken,Non Cyber,Data left on screen in public location,1 to 9,Retail and manufacture,24 hours to 72 hours
BI1024,2024,Qtr 1,Subscribers,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Data emailed to incorrect recipient,10 to 99,Legal,More than 1 week
BI1024,2024,Qtr 1,Subscribers,Official documents,No Further Action,Non Cyber,Data emailed to incorrect recipient,10 to 99,Legal,More than 1 week
BI1025,2024,Qtr 1,Patients,Official documents,No Further Action,Non Cyber,Not Provided,10 to 99,Land or property services,Less than 24 hours
BI1026,2024,Qtr 1,Patients,Official documents,No Further Action,Non Cyber,Data left on screen in public location,10 to 99,Health,Less than 24 hours
BI1027,2024,Qtr 1,Patients,Basic personal identifiers,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,10 to 99,Transport and leisure,More than 1 week
BI1027,2024,Qtr 1,Patients,Official documents,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,10 to 99,Transport and leisure,More than 1 week
BI1027,2024,Qtr 1,Patients,Location data,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,10 to 99,Transport and leisure,More than 1 week
BI1027,2024,Qtr 1,Patients,Economic and financial data,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,10 to 99,Transport and leisure,More than 1 week
BI1028,2024,Qtr 1,Users,Official documents,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,1 to 9,Land or property services,Less than 24 hours
BI1028,2024,Qtr 1,Users,Health data,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,1 to 9,Land or property services,Less than 24 hours
BI1029,2024,Qtr 1,Employees,Official documents,Investigation Pursued,Non Cyber,Not Provided,100 to 1k,General business,Less than 24 hours
BI1030,2024,Qtr 1,Customers or prospective customers,Economic and financial data,No Further Action,Non Cyber,Not Provided,1 to 9,Legal,24 hours to 72 hours
BI1031,2024,Qtr 1,Children,Basic personal identifiers,No Further Action,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Transport and leisure,Less than 24 hours
BI1031,2024,Qtr 1,Children,Economic and financial data,No Further Action,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Transport and leisure,Less than 24 hours
BI1031,2024,Qtr 1,Children,Health data,No Further Action,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Transport and leisure,Less than 24 hours
BI1032,2024,Qtr 1,Employees,Identification data,Ongoing,Non Cyber,Loss/theft of device containing personal data,10 to 99,Legal,More than 1 week
BI1032,2024,Qtr 1,Employees,Data revealing racial or ethnic origin,Ongoing,Non Cyber,Loss/theft of device containing personal data,10 to 99,Legal,More than 1 week
BI1032,2024,Qtr 1,Employees,Health data,Ongoing,Non Cyber,Loss/theft of device containing personal data,10 to 99,Legal,More than 1 week
BI1033,2024,Qtr 1,Patients,Identification data,Ongoing,Non Cyber,Not Provided,100 to 1k,Central government,24 hours to 72 hours
BI1033,2024,Qtr 1,Patients,Economic and financial data,Ongoing,Non Cyber,Not Provided,100 to 1k,Central government,24 hours to 72 hours
BI1033,2024,Qtr 1,Patients,Health data,Ongoing,Non Cyber,Not Provided,100 to 1k,Central government,24 hours to 72 hours
BI1034,2024,Qtr 1,Children,Identification data,Ongoing,Non Cyber,Verbal disclosure of personal data,1 to 9,Education and childcare,Less than 24 hours
BI1034,2024,Qtr 1,Children,Health data,Ongoing,Non Cyber,Verbal disclosure of personal data,1 to 9,Education and childcare,Less than 24 hours
BI1034,2024,Qtr 1,Children,Basic personal identifiers,Ongoing,Non Cyber,Verbal disclosure of personal data,1 to 9,Education and childcare,Less than 24 hours
BI1035,2024,Qtr 1,Patients,Official documents,No Further Action,Non Cyber,Data emailed to incorrect recipient,10 to 99,Education and childcare,72 hours to 1 week
BI1035,2024,Qtr 1,Patients,Basic personal identifiers,No Further Action,Non Cyber,Data emailed to incorrect recipient,10 to 99,Education and childcare,72 hours to 1 week
BI1036,2024,Qtr 1,Service users,Official documents,No Further Action,Non Cyber,Data left on screen in public location,10 to 99,Transport and leisure,More than 1 week
BI1037,2024,Qtr 1,Subscribers,Identification data,No Further Action,Non Cyber,Failure to redact,10 to 99,Local government,24 hours to 72 hours
BI1038,2024,Qtr 1,Subscribers,Location data,Investigation Pursued,Cyber,Other cyber attack,1 to 9,General business,72 hours to 1 week
BI1038,2024,Qtr 1,Subscribers,Official documents,Investigation Pursued,Cyber,Other cyber attack,1 to 9,General business,72 hours to 1 week
BI1038,2024,Qtr 1,Subscribers,Identification data,Investigation Pursued,Cyber,Other cyber attack,1 to 9,General business,72 hours to 1 week
BI1039,2024,Qtr 1,Customers or prospective customers,Location data,Ongoing,Non Cyber,Data emailed to incorrect recipient,10 to 99,Education and childcare,24 hours to 72 hours
BI1039,2024,Qtr 1,Customers or prospective customers,Identification data,Ongoing,Non Cyber,Data emailed to incorrect recipient,10 to 99,Education and childcare,24 hours to 72 hours
BI1039,2024,Qtr 1,Customers or prospective customers,Criminal offence data,Ongoing,Non Cyber,Data emailed to incorrect recipient,10 to 99,Education and childcare,24 hours to 72 hours
BI1040,2024,Qtr 1,Employees,Criminal offence data,No Further Action,Non Cyber,Not Provided,10 to 99,"Finance, insurance and credit",24 hours to 72 hours
BI1040,2024,Qtr 1,Employees,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Not Provided,10 to 99,"Finance, insurance and credit",24 hours to 72 hours
BI1041,2024,Qtr 1,Children,Location data,No Further Action,Non Cyber,Not Provided,1k to 10k,Legal,24 hours to 72 hours
BI1042,2024,Qtr 1,Service users,Identification data,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Charitable and voluntary,More than 1 week
BI1042,2024,Qtr 1,Service users,Official documents,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,100 to 1k,Charitable and voluntary,More than 1 week
BI1043,2024,Qtr 1,Children,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Not Provided,100 to 1k,General business,Less than 24 hours
BI1044,2024,Qtr 1,Subscribers,Criminal offence data,No Further Action,Cyber,Unauthorised access,100 to 1k,Health,Less than 24 hours
BI1044,2024,Qtr 1,Subscribers,Official documents,No Further Action,Cyber,Unauthorised access,100 to 1k,Health,Less than 24 hours
BI1045,2024,Qtr 1,Members of the public,Economic and financial data,No Further Action,Cyber,Unauthorised access,100 to 1k,Land or property services,72 hours to 1 week
BI1045,2024,Qtr 1,Members of the public,Official documents,No Further Action,Cyber,Unauthorised access,100 to 1k,Land or property services,72 hours to 1 week
BI1046,2024,Qtr 1,Patients,Criminal offence data,Investigation Pursued,Cyber,Brute force attack,10 to 99,General business,Less than 24 hours
BI1047,2024,Qtr 1,Children,Economic and financial data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Retail and manufacture,More than 1 week
BI1048,2024,Qtr 1,Service users,Basic personal identifiers,No Further Action,Non Cyber,Loss/theft of device containing personal data,10 to 99,Health,24 hours to 72 hours
BI1048,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Loss/theft of device containing personal data,10 to 99,Health,24 hours to 72 hours
BI1048,2024,Qtr 1,Service users,Location data,No Further Action,Non Cyber,Loss/theft of device containing personal data,10 to 99,Health,24 hours to 72 hours
BI1049,2024,Qtr 1,Children,Identification data,Action Taken,Cyber,Ransomware,100 to 1k,General business,24 hours to 72 hours
BI1049,2024,Qtr 1,Children,Criminal offence data,Action Taken,Cyber,Ransomware,100 to 1k,General business,24 hours to 72 hours
BI1050,2024,Qtr 1,Customers or prospective customers,Economic and financial data,Investigation Pursued,Non Cyber,Failure to redact,10 to 99,"Finance, insurance and credit",72 hours to 1 week
BI1050,2024,Qtr 1,Customers or prospective customers,Location data,Investigation Pursued,Non Cyber,Failure to redact,10 to 99,"Finance, insurance and credit",72 hours to 1 week
BI1050,2024,Qtr 1,Customers or prospective customers,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Failure to redact,10 to 99,"Finance, insurance and credit",72 hours to 1 week
BI1051,2024,Qtr 1,Service users,Location data,No Further Action,Non Cyber,Not Provided,100 to 1k,Central government,Less than 24 hours
BI1052,2024,Qtr 1,Customers or prospective customers,Health data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1k to 10k,Education and childcare,More than 1 week
BI1052,2024,Qtr 1,Customers or prospective customers,Identification data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1k to 10k,Education and childcare,More than 1 week
BI1053,2024,Qtr 1,Children,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,1k to 10k,Retail and manufacture,Less than 24 hours
BI1054,2024,Qtr 1,Subscribers,Location data,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,10 to 99,"Finance, insurance and credit",Less than 24 hours
BI1055,2024,Qtr 1,Users,Basic personal identifiers,Action Taken,Non Cyber,Not Provided,1k to 10k,Health,Less than 24 hours
BI1056,2024,Qtr 1,Users,Identification data,No Further Action,Cyber,Ransomware,10 to 99,Local government,More than 1 week
BI1056,2024,Qtr 1,Users,Basic personal identifiers,No Further Action,Cyber,Ransomware,10 to 99,Local government,More than 1 week
BI1056,2024,Qtr 1,Users,Official documents,No Further Action,Cyber,Ransomware,10 to 99,Local government,More than 1 week
BI1057,2024,Qtr 1,Subscribers,Official documents,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,1 to 9,Transport and leisure,More than 1 week
BI1057,2024,Qtr 1,Subscribers,Basic personal identifiers,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,1 to 9,Transport and leisure,More than 1 week
BI1058,2024,Qtr 1,Employees,Economic and financial data,No Further Action,Non Cyber,Verbal disclosure of personal data,100 to 1k,Health,24 hours to 72 hours
BI1058,2024,Qtr 1,Employees,Identification data,No Further Action,Non Cyber,Verbal disclosure of personal data,100 to 1k,Health,24 hours to 72 hours
BI1059,2024,Qtr 1,Children,Location data,No Further Action,Cyber,Phishing attack,10 to 99,Retail and manufacture,72 hours to 1 week
BI1059,2024,Qtr 1,Children,Economic and financial data,No Further Action,Cyber,Phishing attack,10 to 99,Retail and manufacture,72 hours to 1 week
BI1060,2024,Qtr 1,Members of the public,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,10 to 99,Transport and leisure,Less than 24 hours
BI1061,2024,Qtr 1,Customers or prospective customers,Location data,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,100 to 1k,Transport and leisure,72 hours to 1 week
BI1061,2024,Qtr 1,Customers or prospective customers,Criminal offence data,No Further Action,Non Cyber,Data posted or faxed to incorrect recipient,100 to 1k,Transport and leisure,72 hours to 1 week
BI1062,2024,Qtr 1,Customers or prospective customers,Criminal offence data,Investigation Pursued,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,General business,24 hours to 72 hours
BI1062,2024,Qtr 1,Customers or prospective customers,Identification data,Investigation Pursued,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,General business,24 hours to 72 hours
BI1063,2024,Qtr 1,Subscribers,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Not Provided,10 to 99,Health,24 hours to 72 hours
BI1063,2024,Qtr 1,Subscribers,Official documents,Investigation Pursued,Non Cyber,Not Provided,10 to 99,Health,24 hours to 72 hours
BI1064,2024,Qtr 1,Children,Economic and financial data,Investigation Pursued,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Education and childcare,Less than 24 hours
BI1064,2024,Qtr 1,Children,Health data,Investigation Pursued,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Education and childcare,Less than 24 hours
BI1065,2024,Qtr 1,Employees,Location data,Investigation Pursued,Non Cyber,Data left on screen in public location,10k to 100k,Retail and manufacture,72 hours to 1 week
BI1065,2024,Qtr 1,Employees,Health data,Investigation Pursued,Non Cyber,Data left on screen in public location,10k to 100k,Retail and manufacture,72 hours to 1 week
BI1065,2024,Qtr 1,Employees,Economic and financial data,Investigation Pursued,Non Cyber,Data left on screen in public location,10k to 100k,Retail and manufacture,72 hours to 1 week
BI1066,2024,Qtr 1,Users,Criminal offence data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,"Finance, insurance and credit",Less than 24 hours
BI1066,2024,Qtr 1,Users,Basic personal identifiers,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,"Finance, insurance and credit",Less than 24 hours
BI1066,2024,Qtr 1,Users,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,"Finance, insurance and credit",Less than 24 hours
BI1066,2024,Qtr 1,Users,Location data,No Further Action,Non Cyber,Data emailed to incorrect recipient,1 to 9,"Finance, insurance and credit",Less than 24 hours
BI1067,2024,Qtr 1,Customers or prospective customers,Data revealing racial or ethnic origin,Ongoing,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,General business,Less than 24 hours
BI1067,2024,Qtr 1,Customers or prospective customers,Identification data,Ongoing,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,General business,Less than 24 hours
BI1067,2024,Qtr 1,Customers or prospective customers,Basic personal identifiers,Ongoing,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,General business,Less than 24 hours
BI1068,2024,Qtr 1,Service users,Identification data,No Further Action,Cyber,Other cyber attack,10 to 99,Health,Less than 24 hours
BI1068,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,No Further Action,Cyber,Other cyber attack,10 to 99,Health,Less than 24 hours
BI1069,2024,Qtr 1,Children,Health data,No Further Action,Non Cyber,Not Provided,10 to 99,General business,More than 1 week
BI1069,2024,Qtr 1,Children,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Not Provided,10 to 99,General business,More than 1 week
BI1070,2024,Qtr 1,Customers or prospective customers,Criminal offence data,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,1 to 9,Legal,Less than 24 hours
BI1070,2024,Qtr 1,Customers or prospective customers,Economic and financial data,Investigation Pursued,Non Cyber,Data emailed to incorrect recipient,1 to 9,Legal,Less than 24 hours
BI1071,2024,Qtr 1,Children,Identification data,Investigation Pursued,Non Cyber,Not Provided,1k to 10k,"Finance, insurance and credit",24 hours to 72 hours
BI1071,2024,Qtr 1,Children,Criminal offence data,Investigation Pursued,Non Cyber,Not Provided,1k to 10k,"Finance, insurance and credit",24 hours to 72 hours
BI1071,2024,Qtr 1,Children,Basic personal identifiers,Investigation Pursued,Non Cyber,Not Provided,1k to 10k,"Finance, insurance and credit",24 hours to 72 hours
BI1072,2024,Qtr 1,Patients,Location data,No Further Action,Cyber,Brute force attack,1 to 9,Legal,Less than 24 hours
BI1072,2024,Qtr 1,Patients,Identification data,No Further Action,Cyber,Brute force attack,1 to 9,Legal,Less than 24 hours
BI1073,2024,Qtr 1,Subscribers,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Failure to redact,10 to 99,General business,Less than 24 hours
BI1073,2024,Qtr 1,Subscribers,Official documents,No Further Action,Non Cyber,Failure to redact,10 to 99,General business,Less than 24 hours
BI1074,2024,Qtr 1,Customers or prospective customers,Location data,Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Local government,72 hours to 1 week
BI1075,2024,Qtr 1,Members of the public,Criminal offence data,No Further Action,Non Cyber,Loss/theft of device containing personal data,10k to 100k,Retail and manufacture,24 hours to 72 hours
BI1075,2024,Qtr 1,Members of the public,Basic personal identifiers,No Further Action,Non Cyber,Loss/theft of device containing personal data,10k to 100k,Retail and manufacture,24 hours to 72 hours
BI1076,2024,Qtr 1,Customers or prospective customers,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Not Provided,10 to 99,Education and childcare,More than 1 week
BI1077,2024,Qtr 1,Subscribers,Criminal offence data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,General business,More than 1 week
BI1077,2024,Qtr 1,Subscribers,Identification data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,General business,More than 1 week
BI1077,2024,Qtr 1,Subscribers,Basic personal identifiers,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,General business,More than 1 week
BI1077,2024,Qtr 1,Subscribers,Health data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,General business,More than 1 week
BI1078,2024,Qtr 1,Patients,Criminal offence data,No Further Action,Non Cyber,Verbal disclosure of personal data,1 to 9,Legal,Less than 24 hours
BI1079,2024,Qtr 1,Patients,Identification data,No Further Action,Non Cyber,Not Provided,1 to 9,Health,72 hours to 1 week
BI1079,2024,Qtr 1,Patients,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Not Provided,1 to 9,Health,72 hours to 1 week
BI1080,2024,Qtr 1,Members of the public,Criminal offence data,Investigation Pursued,Non Cyber,Not Provided,10 to 99,General business,24 hours to 72 hours
BI1081,2024,Qtr 1,Subscribers,Location data,No Further Action,Non Cyber,Failure to redact,100 to 1k,"Finance, insurance and credit",More than 1 week
BI1081,2024,Qtr 1,Subscribers,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Failure to redact,100 to 1k,"Finance, insurance and credit",More than 1 week
BI1081,2024,Qtr 1,Subscribers,Identification data,No Further Action,Non Cyber,Failure to redact,100 to 1k,"Finance, insurance and credit",More than 1 week
BI1082,2024,Qtr 1,Members of the public,Criminal offence data,No Further Action,Non Cyber,Not Provided,10 to 99,Land or property services,Less than 24 hours
BI1082,2024,Qtr 1,Members of the public,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Not Provided,10 to 99,Land or property services,Less than 24 hours
BI1082,2024,Qtr 1,Members of the public,Health data,No Further Action,Non Cyber,Not Provided,10 to 99,Land or property services,Less than 24 hours
BI1082,2024,Qtr 1,Members of the public,Identification data,No Further Action,Non Cyber,Not Provided,10 to 99,Land or property services,Less than 24 hours
BI1083,2024,Qtr 1,Service users,Data revealing racial or ethnic origin,No Further Action,Non Cyber,Loss/theft of device containing personal data,1 to 9,Education and childcare,24 hours to 72 hours
BI1083,2024,Qtr 1,Service users,Health data,No Further Action,Non Cyber,Loss/theft of device containing personal data,1 to 9,Education and childcare,24 hours to 72 hours
BI1084,2024,Qtr 1,Employees,Economic and financial data,No Further Action,Cyber,Malware (not ransomware),10 to 99,Health,72 hours to 1 week
BI1084,2024,Qtr 1,Employees,Identification data,No Further Action,Cyber,Malware (not ransomware),10 to 99,Health,72 hours to 1 week
BI1084,2024,Qtr 1,Employees,Basic personal identifiers,No Further Action,Cyber,Malware (not ransomware),10 to 99,Health,72 hours to 1 week
BI1085,2024,Qtr 1,Employees,Economic and financial data,No Further Action,Non Cyber,Not Provided,10 to 99,General business,More than 1 week
BI1085,2024,Qtr 1,Employees,Identification data,No Further Action,Non Cyber,Not Provided,10 to 99,General business,More than 1 week
BI1086,2024,Qtr 1,Subscribers,Data revealing racial or ethnic origin,No Further Action,Cyber,Phishing attack,1 to 9,Health,72 hours to 1 week
BI1087,2024,Qtr 1,Patients,Location data,Investigation Pursued,Cyber,Unauthorised access,1 to 9,Legal,24 hours to 72 hours
BI1087,2024,Qtr 1,Patients,Health data,Investigation Pursued,Cyber,Unauthorised access,1 to 9,Legal,24 hours to 72 hours
BI1088,2024,Qtr 1,Users,Basic personal identifiers,No Further Action,Non Cyber,Not Provided,10 to 99,General business,More than 1 week
BI1088,2024,Qtr 1,Users,Economic and financial data,No Further Action,Non Cyber,Not Provided,10 to 99,General business,More than 1 week
BI1088,2024,Qtr 1,Users,Criminal offence data,No Further Action,Non Cyber,Not Provided,10 to 99,General business,More than 1 week
BI1089,2024,Qtr 1,Children,Data revealing racial or ethnic origin,Investigation Pursued,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Education and childcare,24 hours to 72 hours
